,EEM US Equity,EMB US Equity,IEF US Equity,LQD US Equity,MCHI US Equity,SHY US Equity,SPY US Equity,TLT US Equity,VEA US Equity
2014-05-12,42.32,113.45,102.46,118.07,44.26,84.53,189.785,110.79,42.18
2014-05-13,42.48,113.49,102.86,118.51,44.45,84.56,189.96,111.75,42.24
2014-05-14,42.78,114.07,103.33,119.1,44.88,84.59,189.06,112.96,42.18
2014-05-15,42.38,113.98,103.7,119.31,44.74,84.6,187.4,113.86,41.99
2014-05-16,42.94,113.87,103.48,119.17,45.08,84.61,188.05,113.54,42.06
2014-05-19,42.94,114.09,103.35,119.06,44.94,84.63,188.74,112.7,41.99
2014-05-20,42.59,114.13,103.65,119.06,44.75,84.64,187.55,112.95,41.71
2014-05-21,42.92,114.05,103.49,118.84,45.26,84.64,189.13,112.26,42.05
2014-05-22,43.22,114.25,103.38,118.8,45.76,84.62,189.59,112.1,42.15
2014-05-23,43.14,114.3,103.59,118.93,45.81,84.6,190.35,112.7,42.25
2014-05-27,42.77,114.45,103.62,119.35,45.59,84.62,191.52,113.36,42.51
2014-05-28,43.02,115.04,104.19,119.92,45.9,84.64,191.38,114.76,42.38
2014-05-29,43.14,115.53,104.06,119.57,45.86,84.63,192.37,114.15,42.66
2014-05-30,42.55,115.63,103.98,119.59,45.86,84.65,192.68,114.1,42.66
2014-06-02,42.68,115.24,103.33,118.59,46.22,84.57,192.895,112.96,42.73
2014-06-03,42.92,114.4,102.81,118.05,46.66,84.55,192.8,111.57,42.64
2014-06-04,42.68,114.33,102.73,117.99,46.24,84.58,193.19,111.54,42.66
2014-06-05,43.13,114.62,102.88,118.24,46.6,84.59,194.45,111.59,42.95
2014-06-06,43.56,115.56,102.8,118.49,46.39,84.57,195.375,111.59,43.17
2014-06-09,43.72,115.51,102.65,118.25,46.81,84.51,195.58,111.43,43.12
2014-06-10,43.95,115.08,102.47,118.03,47.14,84.49,195.6,111.02,43.04
2014-06-11,43.8,114.69,102.61,118.12,46.81,84.52,194.92,111.22,42.84
2014-06-12,43.59,114.56,103.01,118.5,46.79,84.55,193.54,112.21,42.85
2014-06-13,43.61,114.8,102.81,118.48,47.37,84.5,194.13,112.15,42.84
2014-06-16,43.41,114.14,102.81,118.47,47.24,84.48,194.29,112.43,42.87
2014-06-17,43.42,113.77,102.38,118.07,47.24,84.41,194.83,111.54,42.82
2014-06-18,43.9,114.61,102.92,118.75,47.47,84.48,196.255,112.4,43.19
2014-06-19,43.65,114.41,102.66,118.33,47.05,84.47,196.48,110.96,43.4
2014-06-20,43.56,114.61,102.78,118.56,46.98,84.47,195.94,111.8,43.31
2014-06-23,43.47,114.87,102.71,118.55,46.41,84.47,195.88,111.45,43.2
2014-06-24,43.45,115.31,103.13,119.05,46.24,84.5,194.7,112.58,42.44
2014-06-25,43.2,115.58,103.23,119.17,45.86,84.51,195.58,112.87,42.48
2014-06-26,43.25,115.55,103.5,119.39,46.33,84.53,195.44,113.41,42.46
2014-06-27,43.35,115.558,103.5,119.37,46.45,84.55,195.82,113.24,42.54
2014-06-30,43.23,115.27,103.58,119.26,46.37,84.56,195.72,113.52,42.59
2014-07-01,43.64,114.75,103.05,118.47,46.7,84.5,197.03,112.28,42.97
2014-07-02,43.9,114.57,102.63,118.05,47.34,84.47,197.23,111.08,43.02
2014-07-03,44.16,114.49,102.42,117.93,47.81,84.46,198.2,110.68,43.09
2014-07-07,44.13,114.67,102.67,118.14,47.94,84.44,197.51,111.49,42.76
2014-07-08,43.933,115.41,103.14,118.58,47.67,84.46,196.24,112.74,42.33
2014-07-09,44.18,115.78,103.16,118.77,47.5,84.47,197.12,112.83,42.49
2014-07-10,43.94,115.44,103.38,118.68,47.21,84.51,196.34,112.86,41.99
2014-07-11,43.89,115.55,103.55,119.05,47.42,84.53,196.61,113.58,42.04
2014-07-14,44.23,115.32,103.32,118.8,47.96,84.52,197.6,113.09,42.34
2014-07-15,44.2,115.19,103.23,118.67,47.97,84.48,197.23,112.86,42.21
2014-07-16,44.31,115.1,103.38,118.95,48.27,84.47,197.96,113.46,42.52
2014-07-17,43.48,114.85,103.98,119.4,47.57,84.54,195.71,114.89,41.96
2014-07-18,44.16,115.26,103.77,119.24,47.89,84.47,197.7099,114.52,42.31
2014-07-21,44.31,115.52,103.8,119.24,47.91,84.48,197.34,115.09,42.14
2014-07-22,44.72,115.7,103.93,119.33,48.81,84.48,198.2,115.33,42.36
2014-07-23,44.76,116.31,103.92,119.47,49.31,84.51,198.64,115.18,42.45
2014-07-24,44.96,116.14,103.5,119.0,49.78,84.48,198.65,114.32,42.52
2014-07-25,44.78,115.98,103.9,119.46,49.77,84.49,197.72,115.67,42.37
2014-07-28,45.09,115.57,103.78,119.32,50.57,84.45,197.8,115.51,42.39
2014-07-29,44.82,115.44,103.92,119.43,50.43,84.47,196.95,115.93,42.35
2014-07-30,44.6,115.39,103.19,118.88,50.06,84.43,196.98,114.32,42.31
2014-07-31,43.82,114.58,103.16,118.55,49.49,84.47,193.09,113.98,41.58
2014-08-01,44.06,113.33,103.57,118.82,49.94,84.55,192.5,114.56,41.35
2014-08-04,44.47,113.65,103.63,118.85,50.48,84.55,193.89,114.26,41.49
2014-08-05,43.79,113.51,103.68,118.97,49.96,84.55,192.01,114.63,40.98
2014-08-06,43.485,113.37,103.77,118.76,49.75,84.57,192.07,114.7,40.89
2014-08-07,43.32,113.17,104.24,119.07,49.42,84.61,191.03,115.77,40.55
2014-08-08,43.71,113.57,104.15,119.04,50.25,84.56,193.24,115.52,40.81
2014-08-11,44.27,113.8,104.1,119.09,50.8,84.56,193.795,115.51,40.91
2014-08-12,44.32,113.95,103.95,119.03,50.89,84.56,193.53,114.76,40.91
2014-08-13,44.56,114.25,104.29,119.27,51.4,84.6,194.84,115.51,41.19
2014-08-14,44.63,114.87,104.5,119.4,50.92,84.62,195.76,116.44,41.38
2014-08-15,44.51,115.04,104.92,119.82,50.9,84.62,195.72,117.71,41.36
2014-08-18,44.94,115.05,104.59,119.55,51.21,84.62,197.36,116.54,41.59
2014-08-19,45.15,115.38,104.48,119.47,51.3,84.62,198.39,116.18,41.69
2014-08-20,45.06,114.83,104.17,119.2,51.18,84.54,198.92,115.99,41.55
2014-08-21,44.87,115.0,104.39,119.61,50.63,84.54,199.5,116.64,41.71
2014-08-22,44.75,114.99,104.4,119.76,50.66,84.52,199.19,117.29,41.53
2014-08-25,45.08,114.95,104.48,119.95,51.05,84.49,200.2,117.73,41.81
2014-08-26,45.35,115.27,104.46,120.03,51.06,84.52,200.33,117.35,41.8
2014-08-27,45.58,116.0,104.75,120.23,50.79,84.54,200.25,118.35,41.92
2014-08-28,45.13,115.71,104.89,120.49,50.08,84.56,200.14,118.97,41.72
2014-08-29,45.06,115.63,104.9,120.58,50.13,84.6,200.71,119.05,41.69
2014-09-02,44.99,114.82,104.05,119.67,50.44,84.5,200.61,116.73,41.73
2014-09-03,45.58,115.03,104.2,119.83,51.93,84.52,200.5,117.38,42.0
2014-09-04,45.46,115.01,103.83,118.98,51.97,84.51,200.2101,115.95,41.82
2014-09-05,45.85,115.42,103.86,119.0,52.42,84.54,201.11,115.73,41.81
2014-09-08,45.31,114.68,103.75,118.8,52.13,84.49,200.59,115.78,41.39
2014-09-09,44.75,114.33,103.51,118.48,51.72,84.44,199.32,115.69,41.23
2014-09-10,44.56,114.3,103.25,118.29,51.06,84.45,200.07,114.96,41.47
2014-09-11,44.26,114.31,103.12,118.2,50.82,84.46,200.3,114.58,41.24
2014-09-12,43.79,113.68,102.73,117.63,50.49,84.44,199.13,113.38,41.16
2014-09-15,43.57,113.44,102.92,117.66,49.83,84.48,198.981,113.55,41.1
2014-09-16,44.14,113.58,102.89,117.64,50.2,84.53,200.48,113.09,41.27
2014-09-17,43.73,113.28,102.63,117.32,49.87,84.44,200.75,112.8,40.97
2014-09-18,43.79,113.32,102.56,117.53,49.85,84.45,201.82,113.16,41.25
2014-09-19,43.46,113.49,102.95,117.99,49.35,84.44,200.7,114.6,41.1
2014-09-22,42.8,113.66,103.17,118.1,48.47,84.5,199.15,114.74,40.96
2014-09-23,42.56,113.79,103.39,118.29,48.21,84.52,198.01,115.45,40.59
2014-09-24,43.17,113.96,103.1,118.01,49.2,84.49,199.56,114.81,40.6
2014-09-25,42.23,113.78,103.6,118.36,48.37,84.55,196.34,116.17,40.03
2014-09-26,42.42,113.44,103.38,118.1,48.52,84.51,197.9,116.0,40.18
2014-09-29,41.56,112.91,103.71,118.05,47.3,84.53,197.54,116.93,39.83
2014-09-30,41.56,112.85,103.62,118.22,47.38,84.51,197.02,116.27,39.75
2014-10-01,40.71,113.13,104.3,118.6,46.49,84.57,194.35,118.23,39.26
2014-10-02,40.93,112.72,103.99,118.59,46.37,84.56,194.38,117.2,38.83
2014-10-03,41.28,112.87,103.96,118.93,47.12,84.48,196.52,117.7,38.88
2014-10-06,41.82,113.1,104.13,118.99,48.05,84.56,196.29,117.77,39.1
2014-10-07,41.45,113.11,104.74,119.42,47.68,84.61,193.26,119.36,38.47
2014-10-08,42.07,113.56,105.11,120.03,48.46,84.7,196.64,119.39,39.06
2014-10-09,41.41,113.55,104.93,119.53,47.76,84.7,192.74,118.87,38.01
2014-10-10,40.51,113.21,105.34,119.63,46.85,84.74,190.54,120.05,37.44
2014-10-13,40.92,113.06,105.89,119.94,47.13,84.77,187.4099,120.78,37.42
2014-10-14,41.16,113.34,106.1,120.21,47.18,84.82,187.7,121.57,37.48
2014-10-15,40.64,113.35,106.7,120.3,46.96,84.93,186.43,122.53,37.27
2014-10-16,40.27,113.36,106.41,120.03,46.79,84.88,186.27,121.75,36.97
2014-10-17,40.72,113.96,106.1,119.98,47.27,84.83,188.47,121.07,37.57
2014-10-20,40.84,114.21,106.25,120.2,47.39,84.88,190.3,121.51,37.89
2014-10-21,41.01,113.96,105.96,120.13,47.54,84.86,194.07,120.54,38.3
2014-10-22,40.74,114.2,105.93,119.93,47.43,84.84,192.69,120.67,38.03
2014-10-23,40.73,114.04,105.49,119.7,47.7,84.8,194.93,119.6,38.43
2014-10-24,41.02,114.09,105.58,119.75,47.83,84.82,196.43,119.72,38.59
